物件種別,物件コード,問合せコード,外部物件区分,外部物件コード,現況,公開状態,エラー,賃料,間取,所在階,築年月,物件名,フリガナ,所在地,管理費,共益費,敷金,礼金,保証金,敷引,更新料,面積（土地）,面積（専有）,坪数(代表),坪単価(代表),物件確認日,登録日,更新日,自社先物,取引態様,業者名,元付担当者,TEL,駐車場,物件メモ,郵便番号
倉庫,R00177-004482,,,,建築中,アーカイブ(成約),無,324940,,階,2026年08月,福岡県福岡市博多区井相田1丁目の貸倉庫・事務所【31坪】,,福岡県福岡市博多区井相田１丁目8-8,,,6.00,,,,,,104.06,31.47,10323,2026/04/16,"2026/04/16 15:32","2026/05/29 15:03",先物(仲介),,オフィスネットワーク(株),-,"=""092-452-5111""",空有,"B棟4号室
担当：島田様（概要書持ち込み）",8120881
倉庫,R00177-004479,,,,建築中,アーカイブ(成約),無,272910,,階,2026年08月,福岡県福岡市博多区井相田1丁目の貸倉庫・事務所【26坪】,,福岡県福岡市博多区井相田１丁目8-13,,,6.00,,,,,,86.72,26.23,10404,2026/04/16,"2026/04/16 14:17","2026/05/29 15:03",先物(仲介),,オフィスネットワーク(株),-,"=""092-452-5111""",空有,"A棟4号室
担当：島田様（概要書持ち込み）",8120881
店舗事務所(建物一部),R00177-004356,,,,空,公開可,無,880000,,階,2016年07月,福岡県福岡市東区和白丘1丁目の貸店舗・事務所【58坪】,,福岡県福岡市東区和白丘１丁目23-5,,,6.00,1.00,,,,,193.20,58.44,15058,2026/06/24,"2025/11/26 15:50","2026/05/29 14:54",先物(仲介),,大坪建設（株）,-,"=""0943-23-5115""",空有,,8110213
倉庫,R00177-004256,,,,空,公開可,無,990000,,階,2025年10月,福岡県福岡市東区社領2丁目の貸倉庫・事務所【91坪】,,福岡県福岡市東区社領２丁目13-8,,,8.00,,,,,347.47,302.01,91.35,10837,2026/06/24,"2025/07/11 10:33","2026/05/29 14:41",先物(仲介),,オフィスネットワーク(株),-,"=""092-452-5111""",空有,ON-S社領,8120068
店舗事務所(建物一括),R00177-004492,,,,空,公開可,無,605000,,階,2008年11月,福岡県北九州市八幡西区御開3丁目の貸店舗【47坪】,,福岡県北九州市八幡西区御開３丁目11-27,,,6.00,1.00,,,,,156.90,47.46,12747,2026/06/15,"2026/04/27 12:04","2026/05/29 14:40",先物(仲介),,株式会社イムズパートナー,-,"=""092-735-7020""",空有,,8070806
店舗事務所(建物一括),R00177-004428,,,,居住中,アーカイブ(成約),無,990000,,階,2016年02月,福岡県北九州市小倉南区東貫3丁目の貸店舗・事務所【55坪】,,福岡県北九州市小倉南区東貫３丁目22-22,,,4.00,,,3.00,,1169.94,184.30,55.75,17758,2026/04/07,"2026/02/26 15:17","2026/05/29 14:27",先物(仲介),,有限会社　不動産エイジェンシー,-,"=""093-965-7755""",空有,,8000224
倉庫,R00177-004302,,,,空,公開可,無,220000,,階,2003年01月,福岡県北九州市小倉南区長野1丁目の貸倉庫・事務所【43坪】,,福岡県北九州市小倉南区長野１丁目8-22,,,,,,,,195.57,144.62,43.74,5029,2026/06/24,"2025/09/12 10:18","2026/05/29 14:25",先物(仲介),,（有）立花興産,-,"=""093-471-2848""",空有,"※非公開、マッチング不可
前テナント：解体業（オーナー使用）",8000228
倉庫,R00177-004515,,,,空,公開可,無,957000,,階,1968年08月,福岡県福岡市博多区金の隈1丁目の貸倉庫・事務所【156坪】,,福岡県福岡市博多区金の隈１丁目36-7,,,,2.00,,,1.00,,518.00,156.69,6108,2026/06/24,"2026/05/29 09:36","2026/05/29 14:04",先物(仲介),,昭和地所開発株式会社,-,"=""092-504-0088""",空有,,8120863
倉庫,R00177-004512,,,,使用中,公開可,無,495000,,階,1971年05月,福岡県直方市大字知古の貸工場【118坪】,,福岡県直方市大字知古712-9,,,2.00,1.00,,,,,391.51,118.43,4180,2026/07/29,"2026/05/27 12:04","2026/05/29 13:52",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,田中,"=""092-409-0188""",空有,田中さん担当,8220022
倉庫,R00177-004467,,,,空,アーカイブ(成約),無,286000,,階,1999年09月,福岡県北九州市小倉北区片野新町2丁目の貸倉庫・事務所【43坪】,,福岡県北九州市小倉北区片野新町２丁目8-24,,,2.00,2.00,,,,,142.56,43.12,6632,2026/04/08,"2026/04/08 10:41","2026/05/29 13:39",先物(仲介),,株式会社ミクニ,-,"=""093-541-0392""",空有,,8020062
倉庫,R00177-004167,,,,居住中,公開可,無,880000,,階,-,福岡県北九州市若松区響町1丁目の貸倉庫・工場【249坪】,,福岡県北九州市若松区響町１丁目73,,,2.00,2.00,,,,,824.10,249.29,3531,2026/06/24,"2025/03/28 11:16","2026/05/29 13:37",先物(仲介),,株式会社ミクニ,-,"=""093-541-0392""",,※未登記の為築年月不明,8080021
倉庫,R00177-004500,,,,空,公開可,無,395000,,階,1994年08月,福岡県鞍手郡小竹町大字赤地の貸倉庫・事務所【131坪】,ノカシソウコジムショツボ,福岡県鞍手郡小竹町大字赤地1030-3,,,2.00,1.00,,,,,433.54,131.14,3012,2026/07/06,"2026/05/13 14:42","2026/05/28 19:09",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,田中,"=""092-409-0188""",空有,田中さん担当,8201102
倉庫,R00177-004459,,,,建築中,公開可,無,770000,,階,2026年10月,福岡県北九州市八幡西区本城東4丁目の貸倉庫【86坪】,,福岡県北九州市八幡西区本城東４丁目321-11,,,6.00,,,,,,287.50,86.96,8854,2026/07/10,"2026/03/26 14:33","2026/05/28 09:36",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"オフィスストレージ本城東Ⅰ　A棟
住所：本城東4丁目9-1付近",8070815
倉庫,R00177-004279,,,,空,アーカイブ(成約),無,382800,,階,2026年03月,熊本県熊本市西区松尾2丁目の貸倉庫・事務所【46坪】,,熊本県熊本市西区松尾２丁目244,,,6.00,,,,,,153.30,46.37,8255,2026/05/28,"2025/08/06 16:23","2026/05/28 09:32",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP熊本西Ⅱ　B棟3号室,8615280
倉庫,R00177-004278,,,,空,公開可,無,267300,,階,2026年03月,熊本県熊本市西区松尾2丁目の貸倉庫・事務所【32坪】,,熊本県熊本市西区松尾２丁目244,,,6.00,,,,,,107.10,32.39,8251,2026/07/10,"2025/08/06 16:17","2026/05/28 09:32",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP熊本西Ⅱ　B棟1・2号室,8615280
倉庫,R00177-004277,,,,空,公開可,無,382800,,階,2026年03月,熊本県熊本市西区松尾2丁目の貸倉庫・事務所【46坪】,,熊本県熊本市西区松尾２丁目244,,,6.00,,,,,,153.30,46.37,8255,2026/07/10,"2025/08/06 15:59","2026/05/28 09:30",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP熊本西Ⅱ　A棟3号室,8615280
倉庫,R00177-004276,,,,空,公開可,無,267300,,階,2026年03月,熊本県熊本市西区松尾2丁目の貸倉庫・事務所【32坪】,,熊本県熊本市西区松尾２丁目244,,,6.00,,,,,,107.10,32.39,8251,2026/07/10,"2025/08/06 15:53","2026/05/28 09:29",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP熊本西Ⅱ　A棟2号室,8615280
倉庫,R00177-004098,,,,空,アーカイブ(成約),無,286000,,階,2025年10月,山口県下関市清末千房2丁目の貸倉庫・事務所【40坪】,,山口県下関市清末千房２丁目46-1,,,6.00,,,,,993.81,132.61,40.11,7130,2026/04/21,"2025/01/30 17:21","2026/05/28 09:26",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア下関Ⅱ　1号室,7501163
倉庫,R00177-004455,,,,使用中,公開可,無,110000,,階,1986年07月,福岡県田川市大字位登の貸倉庫【21坪】,,福岡県田川市大字位登283-14,,,3.00,1.00,,,,356.00,71.67,21.68,5074,2026/07/29,"2026/03/24 09:52","2026/05/27 18:03",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,田中,"=""092-409-0188""",無,オーナー反響：㈱スキロジー,8260044
倉庫,R00177-004454,,,,空,公開可,無,363000,,階,1991年10月,福岡県福岡市東区香椎駅前3丁目の貸倉庫・事務所【29坪】,,福岡県福岡市東区香椎駅前３丁目22-16,,,3.00,,,,,,97.52,29.49,12306,2026/06/11,"2026/03/23 15:50","2026/05/27 18:01",先物(仲介),,（株）日佳商事,-,"=""092-292-3419""",空有,,8130013
店舗事務所(建物一括),R00177-004510,,,,空,公開可,無,220000,,階,1991年08月,福岡県飯塚市平塚の貸店舗・事務所【46坪】,,福岡県飯塚市平塚85-1,,,2.00,2.00,,,,,152.19,46.03,4779,2026/06/11,"2026/05/27 10:44","2026/05/27 14:30",先物(仲介),,株式会社愛和不動産,-,"=""0948-25-8700""",空有,,8200702
倉庫,R00177-004355,,,,空,公開可,無,380000,,階,1992年09月,福岡県鞍手郡鞍手町大字室木の貸倉庫【135坪】,,福岡県鞍手郡鞍手町大字室木766-54,,,,2.00,,,1.00,1387.00,447.71,135.43,2806,2026/06/25,"2025/11/26 15:24","2026/05/27 10:13",先物(仲介),,（株）ｋｉｍｉｎｉ不動産,-,"=""093-280-2190""",空有,,8071307
倉庫,R00177-004180,,,,築後未入居,アーカイブ(成約),無,143000,,階,2024年11月,福岡県北九州市八幡西区茶屋の原2丁目の貸倉庫・事務所【30坪】,,福岡県北九州市八幡西区茶屋の原２丁目13-2,,,3.00,,,,,821.25,99.81,30.19,4737,2026/04/21,"2025/04/08 14:56","2026/05/26 14:37",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"OP八幡西Ⅰ　B棟4号室
※キャンペーン中、マッチングのみ

",8071134
倉庫,R00177-004507,,,,空,公開可,無,350000,,階,1974年03月,福岡県田川市大字奈良の貸倉庫【189坪】,,福岡県田川市大字奈良258-2,7400,,,2.00,,,,,625.29,189.15,1851,2026/06/11,"2026/05/25 15:46","2026/05/25 16:34",先物(仲介),,(有)諸隈不動産,-,"=""0947-42-5001""",空有,,8260043
倉庫,R00177-004421,,,,空,アーカイブ(成約),無,450000,,階,1983年01月,福岡県田川市大字伊加利の貸倉庫【122坪】,,福岡県田川市大字伊加利1772,,,3.00,1.00,,,,,406.39,122.93,3661,2026/02/18,"2026/02/18 13:47","2026/05/25 14:00",先物(仲介),,依依（株）,-,"=""092-231-0839""",空有,売買ありB00177-000462,8250001
倉庫,R00177-004402,,,,空,公開可,無,1298000,,階,2001年09月,福岡県北九州市戸畑区牧山海岸の貸工場【66坪】,,福岡県北九州市戸畑区牧山海岸2-24,,,2.00,2.00,,,,,221.10,66.88,19408,2026/07/29,"2026/01/28 10:14","2026/05/25 10:00",先物(仲介),,株式会社センチュリーダイソー　福岡支店,豊田,"=""092-409-0188""",,"※豊田さん担当

賃貸可能日は未定（オーナー使用中で本業、?忙のため）
1年後の可能性もあり、掲載を下げる可能性も大いにある
上記、元付ミクニには伝えていない

テナントの問合わせ状況によって、オーナー検討行う
賃料値下げなし
",8040077
倉庫,R00177-004165,,,,空,公開可,無,308000,,階,1976年04月,福岡県北九州市八幡西区引野1丁目の貸倉庫【72坪】,,福岡県北九州市八幡西区引野１丁目18-21,,,3.00,,,1.00,,360.60,238.68,72.2,4266,2026/06/11,"2025/03/27 09:14","2026/05/25 09:19",先物(仲介),,トリノ・リーシング,-,"=""093-616-0501""",空有,,8060067
貸地,R00177-004483,,,,更地,公開可,無,308000,,階,-,福岡県宮若市沼口の貸地【400坪】,,福岡県宮若市沼口1366-6,,,3.00,1.00,,,,1322.34,,400,770,2026/07/29,"2026/04/21 11:52","2026/05/23 18:35",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,豊田,"=""092-409-0188""",,"オーナー：岡垣興業
住所：沼口1441向かい付近
5月中は整地工事予定",8220152
貸地,R00177-004505,,,,更地,公開可,無,290000,,階,-,福岡県糟屋郡篠栗町大字乙犬の貸地【298坪】,,福岡県糟屋郡篠栗町大字乙犬970-5,,,3.00,1.00,,,,986.91,,298.54,972,2026/06/22,"2026/05/22 12:11","2026/05/22 16:28",先物(仲介),,（有）ウエル総合企画,-,"=""092-947-5233""",,,8112412
貸地,R00177-004341,,,,古家付,アーカイブ(成約),無,880000,,階,-,福岡県福岡市博多区西月隈3丁目の貸地【426坪】,,福岡県福岡市博多区西月隈３丁目3-15,,,4.00,2.00,,,,1411.00,,426.82,2062,2026/01/27,"2025/11/11 16:36","2026/05/22 11:09",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,田中,"=""092-409-0188""",,"田中さん担当
建物使用不可（未登記）",8120857
倉庫,R00177-004460,,,,居住中,アーカイブ(成約),無,650000,,階,1986年03月,福岡県北九州市若松区南二島2丁目の貸工場【85坪】,,福岡県北九州市若松区南二島２丁目18-8,,,,2.00,,,,,282.77,85.53,7599,2026/03/27,"2026/03/27 11:33","2026/05/20 10:50",先物(仲介),,株式会社不動産きんぐ,-,"=""093-631-0877""",空有,,8080109
倉庫,R00177-004494,,,,空,公開可,無,440000,,階,2021年11月,福岡県京都郡苅田町大字与原の貸倉庫【136坪】,,福岡県京都郡苅田町大字与原2042-1,32340,,6.00,1.00,,,,,450.68,136.33,3228,2026/06/25,"2026/04/28 12:13","2026/05/18 18:29",先物(仲介),,株式会社岩久興産,-,"=""092-282-9780""",空有,"テント倉庫
前面道路、大型通行規制あり",8000323
店舗事務所(建物一括),R00177-004503,,,,空,公開可,無,341000,,階,2022年11月,福岡県福岡市博多区金の隈2丁目の貸店舗・事務所【40坪】,,福岡県福岡市博多区金の隈２丁目3-50,,11000,2.00,2.00,,,33000,,134.13,40.57,8405,2026/06/11,"2026/05/15 10:32","2026/05/18 17:51",先物(仲介),,株式会社スペースＲデザイン,-,"=""092-720-2122""",空有,ＡＲＫ　ＢＡＳＥ　ＨＡＫＡＴＡ,8120863
倉庫,R00177-004173,,,,空,アーカイブ(成約),無,250000,,階,1993年04月,佐賀県小城市芦刈町芦溝の貸倉庫【98坪】,,佐賀県小城市芦刈町芦溝1146-1,,,4.00,4.00,,4.00,,1104.76,327.21,98.98,2526,2026/04/23,"2025/04/03 11:51","2026/05/18 16:15",先物(仲介),,（株）東武住販　春日原駅東口店,-,"=""092-915-7887""",空有,"敷地内に上下水引き込みはありだが、
水道、トイレなし（設置の場合は工事して良いか貸主相談、費用は借主負担）
過去資材置き場としてオーナー使用
シャッター前にある住居、別オーナー",8490311
倉庫,R00177-004468,,,,居住中,アーカイブ(成約),無,3676200,,階,1989年04月,福岡県糟屋郡久山町大字久原の貸倉庫【1113坪】,,福岡県糟屋郡久山町大字久原2904-2,,,3.00,1.00,,,,,3682.00,1113.8,3301,2026/04/08,"2026/04/08 11:06","2026/05/18 13:00",先物(仲介),,(有)パイルコーポレーション,-,"=""092-452-2233""",空有,"D区画のみ2.8tクレーンあり
分割可（一区画約300坪）
庇下：坪1000円別途必要",8112501
倉庫,R00177-004392,,,,空,アーカイブ(成約),無,275000,,階,1988年01月,福岡県北九州市小倉南区下城野3丁目の貸倉庫【90坪】,,福岡県北九州市小倉南区下城野３丁目2-8-4,,,,2.00,,,,,300.00,90.75,3031,2026/05/16,"2026/01/22 13:34","2026/05/16 10:26",先物(仲介),,（株）オーリー不動産,-,"=""093-932-7888""",空有,,8020804
倉庫,R00177-004470,,,,空,公開可,無,1800000,,階,2000年07月,福岡県嘉麻市上の貸倉庫【1347坪】,,福岡県嘉麻市上237-1,,,2.00,,,1.00,,,4453.00,1347.03,1337,2026/06/11,"2026/04/09 15:32","2026/05/15 09:18",先物(仲介),,（有）西部不動産,-,"=""0948-25-3343""",空有,"こたつやソファー等の製造工場として過去使用
2026.5 キュービクルあり　（半年前まで使用）故障の場合は貸主修繕相談可
天高、1F：約3.8m　2F：約2.8m　3F：約3.2m-4.2m
庇下、約4.1m",8200311
倉庫,R00177-004349,,,,居住中,公開可,無,1353000,,階,1995年03月,福岡県古賀市小山田の貸倉庫【410坪】,,福岡県古賀市小山田170-2,,,4.00,2.00,,,,,1358.40,410.91,3293,2026/07/29,"2025/11/19 15:49","2026/05/14 14:50",先物(仲介),,株式会社センチュリーダイソー　福岡支店,中村,"=""092-409-0188""",空有,中村さん担当物件,8113126
倉庫,R00177-004441,,,,空,アーカイブ(成約),無,1320000,,階,2026年03月,佐賀県鳥栖市永吉町の貸倉庫【35～450坪】,,佐賀県鳥栖市永吉町540-1,,,6.00,,,,,3234.07,120.00,36.3,36364,2026/05/14,"2026/03/11 16:31","2026/05/14 13:38",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,中村,"=""092-409-0188""",空有,"オーナー反響物件：ゲートサービス様
貸地：R00177-003448",8410011
倉庫,R00177-004462,,,,空,アーカイブ(成約),無,440000,,階,2004年04月,佐賀県鳥栖市立石町の貸倉庫・事務所【91坪】,,佐賀県鳥栖市立石町1050-2,,,,2.00,,,22000,,301.62,91.24,4823,2026/05/14,"2026/04/01 16:06","2026/05/14 10:30",先物(仲介),,悠悠ホーム（株）春日原店,-,"=""092-581-1644""",空有,,8410075
貸地,R00177-004487,,,,更地,アーカイブ(成約),無,550000,,階,-,福岡県福岡市東区多々良2丁目の貸地【501坪】,,福岡県福岡市東区多々良２丁目542-1,,,3.00,,,,,1657.00,,501.24,1098,2026/05/13,"2026/04/23 12:05","2026/05/13 15:08",先物(仲介),,福岡市東部農業協同組合JRハウジングセンター,-,"=""092-621-4699""",,仲介中,8130033
貸地,R00177-004427,,,,更地,アーカイブ(成約),無,720000,,階,-,福岡県福岡市博多区半道橋2丁目の貸地【119坪】,,福岡県福岡市博多区半道橋２丁目13-36,,,8.00,,,,,394.00,,119.18,6042,2026/04/08,"2026/02/26 12:10","2026/05/13 15:08",先物(仲介),,（株）八紘堂,-,"=""092-522-8508""",,,8120897
店舗事務所(建物一括),R00177-004420,,,,居住中,アーカイブ(成約),無,660000,,階,2000年05月,福岡県那珂川市中原3丁目の貸店舗・事務所【60坪】,,福岡県那珂川市中原３丁目70-1,,,6.00,,,,,,198.35,60,11000,2026/05/12,"2026/02/17 11:54","2026/05/12 15:54",先物(仲介),,ＡＣＲＥ（株）福岡支社,-,"=""092-292-9688""",空有,,8111213
倉庫,R00177-004291,,,,,アーカイブ(成約),無,539000,,階,1970年02月,福岡県飯塚市伊岐須の貸倉庫【250坪】,,福岡県飯塚市伊岐須486-1,,,3.00,1.00,,,,,829.14,250.81,2149,2026/05/11,"2025/08/28 13:47","2026/05/11 18:06",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,豊田,"=""092-409-0188""",空有,オーナー反響：西日本運送㈱,8200053
倉庫,R00177-004290,,,,,アーカイブ(成約),無,572000,,階,1996年01月,福岡県飯塚市伊岐須の貸倉庫【200坪】,,福岡県飯塚市伊岐須486-1,,,3.00,1.00,,,,,661.41,200.07,2859,2026/05/11,"2025/08/28 13:41","2026/05/11 18:06",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,豊田,"=""092-409-0188""",空有,"オーナー反響：西日本運送㈱
動力あり
トイレなし、仮設トイレの設置：借主
（オーナートイレの使用は相談）",8200053
倉庫,R00177-004304,,,,築後未入居,アーカイブ(成約),無,1056000,,階,2025年08月,福岡県筑後市大字溝口の貸倉庫【300坪】,,福岡県筑後市大字溝口4,,,3.00,1.00,,,,,998.37,302,3497,2026/05/11,"2025/09/16 10:55","2026/05/11 18:06",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,豊田,"=""092-409-0188""",空有,"オーナー反響：宝生流通システム㈱
上水：井戸水（汲み上げポンプあり）
下水なし、
トイレなし、事務所なし（設置相談可）
・オーナーにてトイレ設置検討中
・駐車場も5台程度は確保可能
・賃貸区画は一番左の区画（隣２つはオーナー使用）",8330012
貸地,R00177-004498,,,,更地,公開可,無,3500000,,階,-,福岡県北九州市若松区響町1丁目の貸地【3487坪】,,福岡県北九州市若松区響町１丁目1,,,3.00,,,,,11528.54,,3487.38,1004,2026/06/11,"2026/05/11 13:58","2026/05/11 14:04",先物(仲介),,（株）メイヴス,-,"=""092-400-2341""",,地番：13-5,8080021
倉庫,R00177-004439,,,,居住中,アーカイブ(成約),無,400000,,階,-,福岡県古賀市天神4丁目の貸倉庫【64坪】,,福岡県古賀市天神４丁目13-28,,,5.00,,,,,571.73,213.55,64.59,6193,2026/05/11,"2026/03/11 11:54","2026/05/11 10:00",先物(仲介),,花鶴不動産商事,-,"=""092-942-7669""",空有,,8113101
店舗事務所(建物一括),R00177-004396,,,,空,アーカイブ(成約),無,290000,,階,1998年07月,福岡県太宰府市高雄1丁目の貸店舗・事務所【19坪】,,福岡県太宰府市高雄１丁目3668-5,,,3.00,,,,,,63.74,19.28,15041,2026/04/08,"2026/01/26 11:33","2026/05/07 13:18",先物(仲介),,青山地建（株）,-,"=""092-924-4111""",空有,,8180122
倉庫,R00177-004270,,,,建築中,アーカイブ(成約),無,198000,,階,2026年04月,福岡県糟屋郡新宮町大字下府の貸倉庫・事務所【25坪】,,福岡県糟屋郡新宮町大字下府,,,6.00,,,,,,84.27,25.49,7768,2026/01/14,"2025/08/05 17:47","2026/05/01 19:17",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"OP新宮Ⅱ　A棟1・2号室
新宮町下府16街区1（住所：下府大字827近辺）",8110112
倉庫,R00177-004272,,,,建築中,アーカイブ(成約),無,264000,,階,2026年04月,福岡県糟屋郡新宮町大字下府の貸倉庫・事務所【36坪】,,福岡県糟屋郡新宮町大字下府,,,6.00,,,,,,119.25,36.07,7319,2026/03/13,"2025/08/06 10:20","2026/05/01 19:14",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"OP新宮Ⅱ　A棟4・5・6号室
新宮町下府16街区1（住所：下府大字827近辺）",8110112
倉庫,R00177-004273,,,,建築中,アーカイブ(成約),無,440000,,階,2026年04月,福岡県糟屋郡新宮町大字下府の貸倉庫・事務所【61坪】,,福岡県糟屋郡新宮町大字下府,,,6.00,,,,,,202.22,61.17,7193,2025/11/18,"2025/08/06 10:31","2026/05/01 19:10",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"OP新宮Ⅱ　B棟1号室
新宮町下府16街区1（住所：下府大字827近辺）",8110112
倉庫,R00177-004269,,,,居住中,公開可,無,495000,,階,1988年02月,福岡県福岡市博多区東那珂3丁目の貸倉庫・事務所【61坪】,,福岡県福岡市博多区東那珂３丁目6-16,19250,,3.00,2.00,,,33000,,202.02,61.11,8101,2026/06/24,"2025/08/04 12:02","2026/05/01 14:21",先物(仲介),,（株）アイディエス　店舗アップ福岡,-,"=""092-791-7935""",空有,"駐車場について：将来的に、前面道路の拡張工事が行われ、駐車スペースがなくなる予定
　　　　　　　　駐車場なくなった後は、倉庫内に駐車をお願いするとのこと",8120892
店舗事務所(建物一括),R00177-004497,,,,居住中,公開可,無,330000,,階,1981年02月,福岡県大野城市御笠川6丁目の貸事務所【46坪】,,福岡県大野城市御笠川６丁目5-12,,,4.00,,,,1.00,330.60,152.46,46.11,7156,2026/06/29,"2026/04/30 12:08","2026/04/30 14:04",先物(仲介),,昭和地所開発株式会社,-,"=""092-504-0088""",空有,8月末日退去予定,8160912
倉庫,R00177-004495,,,,築後未入居,公開可,無,258500,,階,2026年03月,福岡県大野城市南ケ丘3丁目の貸倉庫・事務所【32坪】,,福岡県大野城市南ケ丘３丁目1-11,,,,1.00,,,,,109.00,32.97,7840,2026/06/24,"2026/04/30 10:12","2026/04/30 14:04",先物(仲介),,（株）田島不動産,-,"=""092-581-0621""",空有,ベリッシモ大野城A,8160964
倉庫,R00177-004378,,,,使用中,アーカイブ(成約),無,2200000,,階,1979年10月,福岡県柳川市三橋町枝光の貸倉庫【684坪】,,福岡県柳川市三橋町枝光4-2,,,5.00,1.00,,,,5293.62,2262.00,684.25,3216,2025/12/25,"2025/12/25 12:05","2026/04/29 12:47",先物(仲介),,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,"オーナー反響：ダイワプランニング
※非公開、オーナー承認後公開
用途変更不可（鉄工所もしくは倉庫のみ）
築年数一番古い建物で登録",8320807
貸地,R00177-004491,,,,更地,公開可,無,290000,,階,-,福岡県宮若市龍徳の貸地【535坪】,,福岡県宮若市龍徳31-4,,,2.00,1.00,,,,1770.00,,535.42,542,2026/07/29,"2026/04/27 10:34","2026/04/28 15:54",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,田中,"=""092-409-0188""",,田中さん担当,8230001
貸地,R00177-004489,,,,更地,公開可,無,935000,,階,-,熊本県熊本市東区下南部3丁目の貸地【747坪】,,熊本県熊本市東区下南部３丁目251-1,,,3000000,,,,,2470.50,,747.32,1252,2026/06/26,"2026/04/24 10:19","2026/04/24 14:24",先物(仲介),,古荘都市開発株式会社,-,"=""096-355-6428""",,駐車場、資材置き場として利用可,8618019
倉庫,R00177-004408,,,,空,アーカイブ(成約),無,715000,,階,1990年09月,福岡県糟屋郡新宮町上府北3丁目の貸倉庫【193坪】,,福岡県糟屋郡新宮町上府北３丁目776-27,,,3.00,1.00,,,,1006.00,640.85,193.85,3689,2026/04/24,"2026/02/03 14:35","2026/04/24 13:31",先物(仲介),,常盤商事株式会社　福岡支店,-,"=""092-281-3040""",空有,"※仲介中
定期借家契約5年
トイレ・事務所なし（水道引込無）
シャッター真ん中不調（原因不明）
クレーン梁下約5.3m
シャッター：高さ約4mx横約3.9m
中二階サイズ：横14mx奥行4.4m（1階高さ2.3m）",8110123
倉庫,R00177-004469,,,,空,公開可,無,1320000,,階,1980年11月,福岡県八女市龍ケ原の貸工場【1112坪】,,福岡県八女市龍ケ原214,,,2.00,,,,,,3677.04,1112.3,1187,2026/06/11,"2026/04/09 14:28","2026/04/21 17:58",先物(仲介),,西日本産業（株）Ｓｍｉｌｅ　Ｈｏｍｅ　Ｔｏｗｎ,-,"=""0942-39-5727""",空有,,8340067
倉庫,R00177-004169,,,,空,公開可,無,990000,,階,2025年11月,福岡県太宰府市梅香苑1丁目の貸倉庫・事務所【112坪】,,福岡県太宰府市梅香苑１丁目3657,,,6.00,,,,,,373.50,112.98,8763,2026/07/10,"2025/04/01 11:54","2026/04/21 17:43",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"JHQビル
※完成予定図のネイビーの建物1棟
※事務所面積は201㎡
住所：梅香苑1丁目19-6",8180124
倉庫,R00177-004343,,,,空,アーカイブ(成約),無,330000,,階,2003年06月,福岡県糸島市篠原東3丁目の貸倉庫・事務所【14坪】,,福岡県糸島市篠原東３丁目3-55,,,3.00,1.00,,,,,47.71,14.43,22866,2026/04/21,"2025/11/13 11:20","2026/04/21 16:54",先物(仲介),,株式会社吉住開発,-,"=""092-323-4672""",空有,認証工場取れない,8191128
倉庫,R00177-004374,,,,使用中,アーカイブ(成約),無,1100000,,階,1982年02月,福岡県福岡市東区原田1丁目の貸倉庫【200坪】,,福岡県福岡市東区原田１丁目22-40,,,2.00,1.00,,,,,661.16,200,5500,2026/04/21,"2025/12/22 16:41","2026/04/21 14:52",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,豊田,"=""092-409-0188""",空有,"※非公開、マッチングのみ
転貸（トランスネット）
敷地一部共有",8120063
倉庫,R00177-004260,,,,空,アーカイブ(成約),無,880000,,階,1977年11月,福岡県福岡市早良区荒江2丁目の貸倉庫・事務所【231坪】,,福岡県福岡市早良区荒江２丁目8-28,,,6.00,,,,,,766.00,231.71,3798,2026/04/21,"2025/07/17 14:10","2026/04/21 14:52",先物(仲介),,(株)福住テナント営業部,-,"=""092-712-0255""",空有,"定借10年まで相談可
倉庫事務所のみ可（庫内作業のある業種?）",8140021
