暔審庬暿,暔審僐乕僪,栤崌偣僐乕僪,奜晹暔審嬫暘,奜晹暔審僐乕僪,尰嫷,岞奐忬懺,僄儔乕,捓椏,娫庢,強嵼奒,抸擭寧,暔審柤,僼儕僈僫,強嵼抧,娗棟旓,嫟塿旓,晘嬥,楃嬥,曐徹嬥,晘堷,峏怴椏,柺愊乮搚抧乯,柺愊乮愱桳乯,捸悢(戙昞),捸扨壙(戙昞),暔審妋擣擔,搊榐擔,峏怴擔,帺幮愭暔,庢堷懺條,嬈幰柤,尦晅扴摉幰,TEL,挀幵応,暔審儊儌,梄曋斣崋
岺応,R00175-015597,,,,巊梡拞,岞奐壜,柍,1650000,,奒,1968擭06寧,暫屔導擈嶈巗庒墹帥3挌栚偺戄岺応亂222捸亃,,暫屔導擈嶈巗庒墹帥俁挌栚18-27,,,9000000,4950000,,,,506.39,736.75,222.86,7404,2026/06/08,"2026/06/08 11:39","2026/07/03 17:59",愭暔(拠夘),,乮姅乯僄儞僛儖晄摦嶻,-,"=""06-4708-8541""",,丒慡偰峀崘晄壜,6610974
憅屔,R00175-014097,,,,嬻,岞奐壜,柍,300000,,奒,1978擭06寧,晉揷椦巗暯挰2挌栚偺戄憅屔亂44捸亃,,戝嶃晎晉揷椦巗暯挰俀挌栚319-1,,,,,3.00,,,,145.74,44.08,6805,2026/07/29,"2024/07/18 11:10","2026/07/03 16:52",愭暔(拠夘),,僴僂僕儞僌僫僯儚,-,"=""072-336-4000""",嬻桳,"2026.7丏3
丒捓椏丗33枩墌仺30枩墌

丒応強丗僌乕僌儖儅僢僾偱偼暯挰2挌栚319-1
暔妋FAX憲怣嵪 2025.2.6摗尨",5840002
憅屔,R00175-015127,,,,嬻,岞奐壜,柍,1000000,,奒,1999擭12寧,戝嶃巗廧擵峕嬫怴杒搰2挌栚偺戄憅屔亂126捸亃,,戝嶃晎戝嶃巗廧擵峕嬫怴杒搰俀挌栚2-47,,,2.00,1.00,,,,297.65,240.66,72.79,13737,2026/07/06,"2025/11/07 11:49","2026/07/03 16:50",愭暔(拠夘),,姅幃夛幮傾乕儖丒働乕,挔,"=""06-4303-5688""",,"2026.7丏3
丒捓椏丗132枩墌仺100枩墌
",5590024
戄抧,R00175-014261,,,,屆壠晅,傾乕僇僀僽(惉栺),柍,228000,,奒,-,婒晫導梴榁孲梴榁挰慏晬偺戄抧亂379捸亃,,婒晫導梴榁孲梴榁挰慏晬76,3850,,,,600000,,,1255.18,,379.69,601,2025/11/14,"2024/10/15 13:11","2026/07/03 10:33",帺幮,堦斒攠夘,姅幃夛幮僙儞僠儏儕乕僟僀僜乕,曱嶳,"=""06-6136-0555""",,"2025.12.25 攧攦偺傒偺曞廤偵曄峏丂曱嶳",5031382
憅屔,R00175-015009,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,330000,,2奒,1992擭12寧,嫗搒晎嫗搒巗嶳壢嬫戝戭拞彫楬挰偺戄憅屔亂37捸亃,,嫗搒晎嫗搒巗嶳壢嬫戝戭拞彫楬挰26,5000,,3.00,1.00,,,,,123.80,37.44,8812,2025/09/18,"2025/09/18 11:40","2026/07/03 10:32",帺幮,堦斒攠夘,姅幃夛幮僙儞僠儏儕乕僟僀僜乕,曱嶳,"=""06-6136-0555""",嬻桳,"2026.4.6 僆乕僫乕偺搒崌偵傛傝宖嵹掆巭

2025.10.俁丂曱嶳偝傫傛傝僆乕僫乕條傛傝岞奐嫋壜妋擣拞",6078176
憅屔,R00175-015487,,,,嫃廧拞,岞奐壜,柍,550000,,1奒,2001擭03寧,暫屔導嶰揷巗揤恄2挌栚偺戄憅屔亂98捸亃,,暫屔導嶰揷巗揤恄俀挌栚6-5,,,1210000,1815000,,,,,325.90,98.58,5579,2026/07/02,"2026/04/21 13:33","2026/07/02 17:31",愭暔(拠夘),,摗災廧寶乮姅乯,-,"=""079-563-2604""",嬻桳,捓椏DOWN60.5枩佀55枩丂2026.7.2,6691531
揦曑(寶暔堦妵),R00175-015642,,,,嬻,岞奐壜,柍,847000,,1奒,-,枃曽巗彽採杒挰1挌栚偺戄揦曑亂53捸亃,,戝嶃晎枃曽巗彽採杒挰侾挌栚2230-1,,,,,12.00,,,1829.00,178.01,53.84,15730,2026/06/23,"2026/06/23 14:40","2026/07/02 17:25",愭暔(拠夘),,姅幃夛幮僇儉僥僀,徏堜丗090-5679-6772,"=""06-6225-9557""",嬻桳,丒1嬫夋戄偟,5731138
戄抧,R00175-015616,,,,峏抧,岞奐壜,柍,380000,,奒,-,岎栰巗巹巗2挌栚偺戄抧亂217捸亃,,戝嶃晎岎栰巗巹巗俀挌栚44-1,,,2.00,2.00,,,,717.64,,217.08,1751,2026/06/15,"2026/06/15 11:34","2026/07/02 17:23",愭暔(拠夘),,乮姅乯傾僀僄僗僐乕億儗乕僔儑儞,媣曐嫳暯丗080-1511-6620,"=""072-859-8585""",,丒廧強丗巹巗2挌栚1484丄1485丄1489,5760033
揦曑帠柋強(寶暔堦妵),R00175-015594,,,,巊梡拞,岞奐壜,柍,1650000,,奒,2006擭11寧,嫗搒晎嫗搒巗壓嫗嬫墊栘挰偺戄揦曑丒帠柋強亂121捸亃,,嫗搒晎嫗搒巗壓嫗嬫娫擵挰捠惓柺壓傞墊栘挰301,33000,,,1.00,6.00,,,,402.90,121.87,13539,2026/06/08,"2026/06/08 10:48","2026/07/02 17:13",愭暔(拠夘),,捯晄摦嶻乮姅乯,-,"=""075-585-2540""",嬻桳,,6008154
憅屔,R00175-015661,,,,嬻,岞奐壜,柍,407000,,奒,1972擭07寧,栧恀巗愮愇惣挰偺戄憅屔亂130捸亃,,戝嶃晎栧恀巗愮愇惣挰6-3,,,,,3.00,2.00,,,430.00,130.07,3129,2026/08/04,"2026/06/30 13:22","2026/07/01 15:03",愭暔(拠夘),,姅幃夛幮僐僗儌晄摦嶻忣曬丂搶戝嶃巟揦,-,"=""06-6748-7110""",嬻桳,丒1-2奒晹暘,5710014
憅屔,R00175-014739,,,,嬻,傾乕僇僀僽(惉栺),柍,6479550,,奒,1997擭01寧,崅捨巗撿戝旙挰偺戄憅屔亂1309捸亃,,戝嶃晎崅捨巗撿戝旙挰33-1,,,,,3.00,,,,4328.96,1309.51,4949,2026/05/29,"2025/05/26 18:37","2026/07/01 09:12",帺幮,堦斒攠夘,姅幃夛幮僙儞僠儏儕乕僟僀僜乕,媑揷夒,"=""06-6136-0555""",嬻桳,抧嬫擭寧丗寧晄徻,5690042
憅屔,R00175-014258,,,,嬻,岞奐壜,柍,4545000,,奒,1986擭01寧,戝嶃巗廧擵峕嬫撿峘搶5挌栚偺戄憅屔亂1046捸亃,,戝嶃晎戝嶃巗廧擵峕嬫撿峘搶俆挌栚1-4,,,6.00,1.00,,,,7563.20,3214.00,972.23,4675,2026/07/16,"2024/10/11 11:00","2026/06/30 17:13",愭暔(拠夘),,乮姅乯儔僀僼僐儞僒儖僥傿儞僌,-,"=""06-4703-3300""",嬻桳,"2025.10.24丂暔妋帪丄儘僕僐儘峀崘埶棅偁傝

2025.4.3丂彜択拞
丒101丄102丄103丄203嬫夋
丒40ft僐儞僥僫幵偼NG",5590031
揦曑帠柋強(寶暔堦妵),R00175-015659,,,,嬻,岞奐壜,柍,550000,,奒,1976擭05寧,暫屔導恄屗巗拞墰嬫撿杮挰捠2挌栚偺戄揦曑丒帠柋強亂110捸亃,,暫屔導恄屗巗拞墰嬫撿杮挰捠俀挌栚2-4,,,3.00,3.00,,,,98.38,366.65,110.91,4959,2026/06/30,"2026/06/30 12:44","2026/06/30 17:00",愭暔(拠夘),,乮姅乯傾僔僞僄,-,"=""078-231-2001""",嬻桳,,6510074
揦曑帠柋強(寶暔堦妵),R00175-015663,,,,嬻,岞奐壜,柍,400000,,奒,1974擭03寧,愹嵅栰巗崅徏撿1挌栚偺戄揦曑丒帠柋強亂103捸亃,,戝嶃晎愹嵅栰巗崅徏撿侾挌栚1-11,,,,,4000000,,,572.83,341.13,103.19,3877,2026/06/30,"2026/06/30 13:50","2026/06/30 16:55",愭暔(拠夘),,姅幃夛幮傾僀儔儞僪儂乕儉,-,"=""0120-377-656""",嬻桳,,5980015
戄抧,R00175-015460,,,,峏抧,傾乕僇僀僽(惉栺),柍,300000,,奒,-,嫗搒晎敧敠巗壓撧椙崱棦偺戄抧亂194捸亃,,嫗搒晎敧敠巗壓撧椙崱棦13-19,,,,1.00,2.00,,,643.65,,194.7,1541,2026/04/09,"2026/04/09 13:33","2026/06/30 16:11",愭暔(拠夘),,娵旽寶愝乮姅乯嫗揷曈塩嬈強,-,"=""0774-66-4141""",,,6148147
憅屔,R00175-014003,,,,,傾乕僇僀僽(惉栺),柍,11598785,,奒,1973擭11寧,枼柺巗慏応搶3挌栚偺戄憅屔亂2108捸亃,,戝嶃晎枼柺巗慏応搶俁挌栚6-13,,,,,12.00,,,,6971.48,2108.87,5500,2026/04/28,"2024/05/31 14:03","2026/06/30 16:11",愭暔(拠夘),,"姅幃夛幮STORAGE WORKS",拞嶳椡憼丗090-3707-8052,"=""072-768-8616""",嬻桳,"2025.12.9丂
丒捓椏丗13918542墌仺11598785墌",5620035
戄抧,R00175-015223,,,,,岞奐壜,柍,451400,,奒,-,搶戝嶃巗壛擺5挌栚偺戄抧亂122捸亃,,戝嶃晎搶戝嶃巗壛擺俆挌栚15-6,,,1000000,1000000,,,,404.00,,122.21,3694,2026/06/30,"2025/12/19 09:48","2026/06/30 13:14",愭暔(拠夘),,懢梞僴僂僕儞僌姅幃夛幮,-,"=""072-992-1178""",,丒2026.6.30惉栺嵪仺岞奐傊,5780901
憅屔,R00175-015593,,,,嬻,傾乕僇僀僽(惉栺),柍,605000,,1奒,1991擭05寧,嫗搒晎嫗搒巗暁尒嬫媣変怷偺媨挰偺戄憅屔亂135捸亃,,嫗搒晎嫗搒巗暁尒嬫媣変怷偺媨挰13-108,,,6.00,2.00,,,,1727.04,446.40,135.03,4481,2026/06/05,"2026/06/05 11:13","2026/06/30 11:50",愭暔(拠夘),,嶰婎寶愝乮姅乯,-,"=""06-6304-0999""",嬻桳,,6128495
憅屔,R00175-015647,,,,巊梡拞,岞奐壜,柍,880000,,奒,1991擭03寧,撧椙導屼強巗戝帤姖尨偺戄憅屔亂166捸亃,,撧椙導屼強巗戝帤姖尨20-4,,,3.00,1.00,,,,2300.00,550.56,166.54,5284,2026/06/24,"2026/06/24 18:03","2026/06/30 08:57",帺幮,堦斒攠夘,姅幃夛幮僙儞僠儏儕乕僟僀僜乕,媑揷夒,"=""06-6136-0555""",嬻桳,,6392241
憅屔,R00175-015651,,,,巊梡拞,岞奐壜,柍,594594,,1奒,1989擭03寧,暫屔導恄屗巗恵杹嬫栱塰戜1挌栚偺戄憅屔亂98捸亃,,暫屔導恄屗巗恵杹嬫栱塰戜侾挌栚13-9,,,6.00,1.00,,1.00,,672.27,324.90,98.28,6050,2026/07/02,"2026/06/26 11:48","2026/06/29 16:43",愭暔(拠夘),,僀乕僜乕僐姅幃夛幮,-,"=""03-5439-9401""",,"丒1奒晹暘
仸捓椏594,594墌偱擖椡",6540161
憅屔,R00175-015649,,,,,岞奐壜,柍,990000,,奒,1989擭04寧,悂揷巗峕嶁挰2挌栚偺戄憅屔亂100捸亃,,戝嶃晎悂揷巗峕嶁挰俀挌栚17-15,,,,,6.00,,,707.43,330.60,100,9900,2026/06/26,"2026/06/26 11:18","2026/06/29 16:40",愭暔(拠夘),,姅幃夛幮僱僋僗僩僗僥乕僕,-,"=""06-6190-6533""",嬻桳,,5640063
岺応,R00175-015511,,,,,岞奐壜,柍,825000,,奒,2000擭07寧,戝嶃巗忛搶嬫塱揷2挌栚偺戄岺応亂113捸亃,,戝嶃晎戝嶃巗忛搶嬫塱揷俀挌栚2-19,,,,2.00,3.00,,,330.60,373.92,113.11,7294,2026/08/04,"2026/05/08 15:02","2026/06/29 16:14",愭暔(拠夘),,姅幃夛幮僐僗儌晄摦嶻忣曬丂搶戝嶃巟揦,怷壓丗090-4493-8570,"=""06-6748-7110""",,"2026.6.29
丒捓椏丗75枩墌仺82.5枩墌
丒晘嬥丗225枩墌仺柍偟
丒楃嬥丗150枩墌仺2儢寧
丒曐徹嬥丗柍偟仺3偐寧",5360022
憅屔,R00175-015443,,,,嬻,岞奐壜,柍,356400,,奒,2025擭11寧,堬栘巗忋孲2挌栚偺戄憅屔亂35捸亃,,戝嶃晎堬栘巗忋孲俀挌栚7-26,,,2.00,2.00,,,,1037.06,116.61,35.27,10104,2026/06/23,"2026/04/02 13:36","2026/06/29 16:09",愭暔(拠夘),,姅幃夛幮僗儁乕僗丒儕乕僟乕,-,"=""06-6310-7510""",嬻桳,"2026.4.20
2,3,4斣曞廤拞

丒WEST",5670065
憅屔,R00175-015078,,,,嬻,岞奐壜,柍,462000,,奒,1978擭01寧,嶄巗拞嬫敧揷惣挰2挌偺戄憅屔亂120捸亃,,戝嶃晎嶄巗拞嬫敧揷惣挰俀挌18-18,,,2.00,1.00,,,,625.00,398.00,120.39,3838,2026/06/29,"2025/10/20 13:56","2026/06/29 16:07",愭暔(拠夘),,嶰婎寶愝乮姅乯,-,"=""06-6304-0999""",嬻桳,"捓椏DOWN47.3枩仺46.2枩

捓椏DOWN係俋丏俀枩佀47.3枩丂2025.11.26",5998265
憅屔,R00175-015637,,,,嬻,岞奐壜,柍,330000,,1奒,2026擭06寧,戝嶃巗搶惉嬫怺峕撿3挌栚偺戄憅屔亂13捸亃,,戝嶃晎戝嶃巗搶惉嬫怺峕撿俁挌栚20-13,,,660000,660000,,,,95.16,43.47,13.14,25096,2026/06/23,"2026/06/23 13:19","2026/06/29 15:54",愭暔(拠夘),,乮桳乯塰彜帠,-,"=""06-6962-1044""",嬻桳,,5370002
憅屔,R00175-015638,,,,嬻,岞奐壜,柍,650000,,奒,1994擭08寧,戝嶃巗搶惉嬫戝崱棦2挌栚偺戄憅屔亂144捸亃,,戝嶃晎戝嶃巗搶惉嬫戝崱棦俀挌栚7-14,,,1.00,3.00,,,,,477.00,144.29,4505,2026/06/23,"2026/06/23 13:30","2026/06/29 15:51",愭暔(拠夘),,怷擵媨晄摦嶻(姅),-,"=""06-6941-8221""",嬻桳,丒1-3奒堦晹暘,5370012
岺応,R00175-015644,,,,嬻,岞奐壜,柍,880000,,奒,1972擭10寧,戝嶃巗梽愳嬫嶰捗壆拞3挌栚偺戄岺応亂136捸亃,,戝嶃晎戝嶃巗梽愳嬫嶰捗壆拞俁挌栚10-22,,,1000000,2200000,,,,,451.44,136.56,6445,2026/06/24,"2026/06/24 10:06","2026/06/29 15:49",愭暔(拠夘),,僲僀僴僂僗乮姅乯,-,"=""06-6396-1300""",嬻桳,,5320036
憅屔,R00175-015631,,,,巊梡拞,岞奐壜,柍,660000,,奒,1951擭01寧,戝嶃巗楺懍嬫嶗愳俀挌栚偺戄憅屔亂90捸亃,,戝嶃晎戝嶃巗楺懍嬫嶗愳俀挌栚6-17,,,3.00,1.10,,,,141.88,298.84,90.39,7301,2026/06/22,"2026/06/19 18:03","2026/06/29 15:42",帺幮,堦斒攠夘,姅幃夛幮僙儞僠儏儕乕僟僀僜乕,拞愳,"=""06-6136-0555""",柍,,5560022
岺応,R00175-015463,,,,嬻,傾乕僇僀僽(惉栺),柍,770000,,奒,1981擭11寧,暫屔導昉楬巗崄帥挰媣敤偺戄岺応亂247捸亃,,暫屔導昉楬巗崄帥挰媣敤11,,,1.00,1.00,,,,1610.00,816.55,247,3118,2026/06/26,"2026/04/10 10:21","2026/06/26 16:00",愭暔(拠夘),,杒嶳嶻嬈乮姅乯,-,"=""0790-23-1310""",,,6792167
憅屔,R00175-015482,,,,嬻,岞奐壜,柍,825000,,奒,1970擭10寧,戝嶃巗忛搶嬫搶拞昹5挌栚偺戄憅屔,,戝嶃晎戝嶃巗忛搶嬫搶拞昹俆挌栚9-7,,,3.00,2.00,,,,,970.57,293.59,2810,2026/06/26,"2026/04/20 12:01","2026/06/26 16:00",愭暔(拠夘),,僄僗儕乕僪捓戄乮姅乯,僩僉僔僎丗080-3382-9691,"=""06-6345-1842""",,"2026.6.26 壖怽偟崬傒桳",5360023
憅屔,R00175-015458,,,,嬻,岞奐壜,柍,350000,,1奒,1985擭02寧,娸榓揷巗惣擵撪挰偺戄憅屔亂44捸亃,,戝嶃晎娸榓揷巗惣擵撪挰59-30,,,2.00,1.00,,,,,145.50,44.01,7953,2026/06/26,"2026/04/09 13:08","2026/06/26 15:59",愭暔(拠夘),,俲俷俽俿倀俢俬俷乮姅乯戝嶃杮幮,-,"=""06-7502-1201""",柍,"2026.6.26丂
丒捓椏丗38.5枩墌仺35枩墌",5960044
戄抧,R00175-014122,,,,峏抧,傾乕僇僀僽(惉栺),柍,330000,,奒,-,娸榓揷巗愊愳挰偺戄抧亂222捸亃,,戝嶃晎娸榓揷巗愊愳挰53-1,,,,1.00,,,,735.79,,222.57,1483,2026/06/26,"2024/07/30 13:15","2026/06/26 15:57",愭暔(拠夘),,僄僺僢僋儂乕儉僘,-,"=""072-260-4613""",,2026.4.23丂彜択拞丄偐側傝屌偄偑2斣庤壜,5960104
憅屔,R00175-015500,,,,,傾乕僇僀僽(惉栺),柍,682000,,奒,1995擭09寧,敧旜巗懢揷怴挰2挌栚偺戄岺応亂126捸亃,,戝嶃晎敧旜巗懢揷怴挰俀挌栚103-1,,,,3.00,3.00,,,402.51,418.44,126.57,5388,2026/06/26,"2026/04/28 09:34","2026/06/26 15:55",愭暔(拠夘),,姅幃夛幮僗儅僀儖儂乕儉,僐僂,"=""06-4708-7328""",嬻桳,,5810039
憅屔,R00175-015230,,,,嬻,傾乕僇僀僽(惉栺),柍,1800000,,奒,1973擭06寧,戝嶃巗楺懍嬫栘捗愳1挌栚偺戄憅屔亂281捸亃,,戝嶃晎戝嶃巗楺懍嬫栘捗愳侾挌栚10-3,,,2.00,2.00,,,,,930.12,281.36,6398,2026/06/26,"2025/12/23 10:52","2026/06/26 15:53",愭暔(拠夘),,乮姅乯俧俷俴俢丂俲俤倄,-,"=""06-6167-8888""",嬻桳,"2026.4.27
彜択拞丄2斣庤曞廤壜",5560027
戄抧,R00175-015215,,,,峏抧,傾乕僇僀僽(惉栺),柍,1000000,,奒,-,榓愹巗暯堜挰偺戄抧亂705捸亃,,戝嶃晎榓愹巗暯堜挰322-1,,,,1000000,5000000,,,2333.00,,705.73,1417,2026/06/26,"2025/12/16 11:57","2026/06/26 15:48",愭暔(拠夘),,乮姅乯岝怢,-,"=""0725-22-1919""",,,5941115
憅屔,R00175-015143,,,,嬻,傾乕僇僀僽(惉栺),柍,550000,,奒,1994擭01寧,愹戝捗巗杒朙拞挰2挌栚偺戄憅屔亂184捸亃,,戝嶃晎愹戝捗巗杒朙拞挰俀挌栚2-5,,,3000000,,,,,231.41,609.09,184.24,2986,2026/04/27,"2025/11/13 13:32","2026/06/26 15:46",愭暔(拠夘),,姅幃夛幮僀儅僗丂棳捠帠嬈晹,-,"=""06-6209-7373""",嬻桳,,5950012
憅屔,R00175-014515,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,715000,,奒,1992擭10寧,嫗搒晎嫗搒巗撿嬫媑徦堾搱愳尨揷挰偺戄憅屔亂99捸亃,,嫗搒晎嫗搒巗撿嬫媑徦堾搱愳尨揷挰18,,,3900000,1430000,,,,335.00,330.44,99.95,7153,2026/04/14,"2025/02/06 14:00","2026/06/26 15:46",愭暔(拠夘),,姅幃夛幮僀儅僗丂棳捠帠嬈晹,-,"=""06-6209-7373""",嬻桳,"2026丏4.14丂晘嬥UP丂360枩佀390枩丂丂楃嬥UP丂132枩佀143枩
丂丂丂丂丂丂丂

NET晄壜",6018379
憅屔,R00175-014992,,,,嬻,傾乕僇僀僽(惉栺),柍,2455603,,奒,1997擭01寧,嶄巗拞嬫栄寠挰偺戄憅屔亂1364捸亃,,戝嶃晎嶄巗拞嬫栄寠挰73-3,,,6.00,1.00,,1.00,,2702.33,1995.42,603.61,4069,2026/04/27,"2025/09/11 11:46","2026/06/26 15:44",愭暔(拠夘),,僀乕僜乕僐姅幃夛幮,-,"=""03-5439-9401""",,"2026.4.27
丒捓椏丗580枩墌仺245.5603枩墌
丒愱桳柺愊丗4509.76噓佀1995.42噓

2026.3.5
丒捓椏丗671枩墌仺580枩墌",5998266
憅屔,R00175-015505,,,,嬻,傾乕僇僀僽(惉栺),柍,1968379,,2奒,1997擭01寧,嶄巗拞嬫栄寠挰偺戄憅屔亂483捸亃,,戝嶃晎嶄巗拞嬫栄寠挰73-3,,,6.00,1.00,,1.00,,2702.33,1599.50,483.84,4069,2026/04/28,"2026/04/28 14:00","2026/06/26 15:44",愭暔(拠夘),,僀乕僜乕僐姅幃夛幮,-,"=""03-5439-9401""",,丒2奒晹暘,5998266
岺応,R00175-015354,,,,嬻,傾乕僇僀僽(惉栺),柍,825000,,奒,1989擭08寧,摗堜帥巗彫嶳7挌栚偺戄岺応亂341捸亃,,戝嶃晎摗堜帥巗彫嶳俈挌栚7-7,,,8.00,,,,,,1128.47,341.36,2417,2026/06/26,"2026/02/24 13:04","2026/06/26 15:41",愭暔(拠夘),,乮姅乯僕儏儞僐儈儏僯僥傿,-,"=""06-6244-6505""",嬻桳,,5830033
揦曑帠柋強(寶暔堦妵),R00175-013939,,,,嬻,傾乕僇僀僽(惉栺),柍,550000,,奒,2011擭10寧,嫗搒晎塅帯巗塅帯堧斣偺戄揦曑丒帠柋強亂30捸亃,,嫗搒晎塅帯巗塅帯堧斣19-1,,,,,3300000,,1.00,302.50,99.40,30.06,18292,2026/06/26,"2024/04/18 13:34","2026/06/26 15:40",愭暔(拠夘),,徏峗晄摦嶻乮桳乯,-,"=""0774-20-8577""",嬻桳,"2026.4.28
彜択拞丅2斣庤偺壜斲娷傔徻嵶偼尦晅偵傕傢偐傜側偄偲偺偙偲丅",6110021
揦曑帠柋強(寶暔堦妵),R00175-015284,,,,嬻,傾乕僇僀僽(惉栺),柍,495000,,奒,2002擭01寧,嫗搒晎嫗搒巗忋嫗嬫屲捯挰偺戄揦曑丒帠柋強亂76捸亃,,嫗搒晎嫗搒巗忋嫗嬫屲捯捠戝媨惣擖屲捯挰80-1,,,,,1500000,,110000,221.78,254.24,76.9,6437,2026/06/26,"2026/01/20 15:56","2026/06/26 15:39",愭暔(拠夘),,庨悵晄摦嶻乮姅乯,-,"=""075-417-4577""",嬻桳,,6028446
憅屔,R00175-014854,,,,,傾乕僇僀僽(惉栺),柍,650000,,奒,-,愹嵅栰巗撿拞埨徏偺戄憅屔亂275捸亃,,戝嶃晎愹嵅栰巗撿拞埨徏1597-1,,,6.00,2.00,,,,,909.74,275.19,2362,2026/06/26,"2025/07/01 14:36","2026/06/26 15:36",愭暔(拠夘),,姅幃夛幮僕乕僾儖,-,"=""06-4300-3494""",,"2025.10.31
丒捓椏丗77枩墌仺65枩墌(惻崬傒)",5980033
岺応,R00175-015222,,,,嬻,傾乕僇僀僽(惉栺),柍,638000,,奒,1962擭10寧,戝嶃巗梽愳嬫揷愳2挌栚偺戄岺応亂82捸亃,,戝嶃晎戝嶃巗梽愳嬫揷愳俀挌栚5-38,,,3.00,2.00,,,,,273.27,82.66,7718,2026/04/27,"2025/12/18 11:16","2026/06/26 15:27",愭暔(拠夘),,傾儖僗僥儔乮姅乯,-,"=""06-6330-8100""",柍,"2026.4.27
忦審曄峏丗
晘堷丄曐徹嬥佀婰嵹側偟
揝崪憿佀寉検揝崪憿",5320027
岺応,R00175-015467,,,,嬻,傾乕僇僀僽(惉栺),柍,300000,,奒,1970擭12寧,搶戝嶃巗怷壨撪惣俀挌栚偺戄岺応亂59捸亃,,戝嶃晎搶戝嶃巗怷壨撪惣俀挌栚13-12,,,3.00,2.00,,,,,198.15,59.94,5005,2026/04/14,"2026/04/14 10:29","2026/06/26 13:54",愭暔(拠夘),,姅幃夛幮嫽塰彜帠,-,"=""06-6783-5136""",柍,,5770061
岺応,R00175-015100,,,,嬻,傾乕僇僀僽(惉栺),柍,495000,,奒,1989擭12寧,敧旜巗懢揷怴挰7挌栚偺戄岺応亂95捸亃,,戝嶃晎敧旜巗懢揷怴挰俈挌栚150,,,,3.00,1000000,,,171.75,314.36,95.09,5206,2026/06/26,"2025/10/28 11:59","2026/06/26 13:45",愭暔(拠夘),,乮姅乯僙儖僼傿乕儂乕儉,-,"=""072-949-2700""",,,5810039
憅屔,R00175-014319,,,,嬻,傾乕僇僀僽(惉栺),柍,770000,,奒,1969擭01寧,敧旜巗撿栘偺杮1挌栚偺戄憅屔亂105捸亃,,戝嶃晎敧旜巗撿栘偺杮侾挌栚74,,,,4.00,,,,,350.16,105.92,7270,2026/04/21,"2024/11/07 14:34","2026/06/26 13:45",愭暔(拠夘),,姅幃夛幮僩僠僞僥價儖僨傿儞僌,嵅乆栘丗080-9741-9625,"=""06-6975-7780""",嬻桳,"2026.4.21丂彜択拞丄2斣庤曞廤壜

2026.1.29丂
丒捓椏丗82.5枩墌仺77枩墌
丒尦晅丗媑懞彜帠仺僩僠僞僥價儖僨傿儞僌

2025.11.5
丒捓椏丗90.2枩墌仺82.5枩墌
丒尦晅丗Home Quest仺媑懞彜帠",5810042
戄抧,R00175-013706,,,,偦偺懠,傾乕僇僀僽(惉栺),柍,515000,,奒,-,崅捨巗戝帤撧嵅尨偺戄抧亂429捸亃,,"戝嶃晎崅捨巗戝帤撧嵅尨340,339,340,341-1,340-1,19-3,19-8,341-3",,,,3.00,2.00,,,1419.50,,429.39,1200,2026/06/26,"2024/01/17 11:29","2026/06/26 13:43",愭暔(拠夘),,崅捨搚抧姅幃夛幮,-,"=""072-668-5767""",,"2026.2.12丂惉栺仺暅妶
丒捓椏丗51.6枩墌仺51.5枩墌",5691041
憅屔,R00175-015383,,,,嬻,傾乕僇僀僽(惉栺),柍,385000,,1奒,1963擭01寧,戝嶃巗惣惉嬫娸棦2挌栚偺戄憅屔亂42捸亃,,戝嶃晎戝嶃巗惣惉嬫娸棦俀挌栚2-1,,,,2.00,,,,334.65,141.35,42.75,9005,2026/06/26,"2026/03/11 11:16","2026/06/26 13:42",愭暔(拠夘),,乮姅乯彔,-,"=""06-6655-6711""",柍,,5570041
憅屔,R00175-015294,,,,,傾乕僇僀僽(惉栺),柍,1562000,,奒,-,戝嶃巗楺懍嬫嶗愳1挌栚偺戄憅屔亂285捸亃,,戝嶃晎戝嶃巗楺懍嬫嶗愳侾挌栚4-20,,,2000000,1562000,,,,,944.96,285.85,5465,2026/06/26,"2026/01/23 11:10","2026/06/26 13:41",愭暔(拠夘),,揷拞嶻嬈乮姅乯,-,"=""06-6761-1001""",嬤桳,憭媀応壜擻,5560022
憅屔,R00175-015329,,,,嬻,傾乕僇僀僽(惉栺),柍,1320000,,奒,2007擭06寧,愛捗巗撿暿晎挰偺戄憅屔亂239捸亃,,戝嶃晎愛捗巗撿暿晎挰7-19,,,2.00,2.00,,,,628.00,790.46,239.11,5521,2026/06/26,"2026/02/12 10:19","2026/06/26 13:38",愭暔(拠夘),,擔偺弌寶愝乮姅乯,-,"=""06-6260-5568""",嬻桳,,5660045
憅屔,R00175-015397,,,,,岞奐壜,桳,825000,,1奒,1969擭09寧,戝嶃巗搶惉嬫戝崱棦惣1挌栚偺戄憅屔亂101捸亃,,戝嶃晎戝嶃巗搶惉嬫戝崱棦惣侾挌栚1-19,,,,,7500000,,,415.27,335.77,101.57,8123,2026/06/26,"2026/03/17 13:45","2026/06/26 13:34",愭暔(拠夘),,乮姅乯擔杮僾儘僷僥傿,-,"=""06-6747-9552""",,,5370014
